"id","name","parent","type"
1,Azua,0,Provincia
2,Baoruco,0,Provincia
3,Barahona,0,Provincia
4,Dajabón,0,Provincia
5,Duarte,0,Provincia
6,Elías Piña,0,Provincia
7,El Seibo,0,Provincia
8,Espaillat,0,Provincia
9,Hato Mayor,0,Provincia
10,Hermanas Mirabal,0,Provincia
11,Independencia,0,Provincia
12,La Altagracia,0,Provincia
13,La Romana,0,Provincia
14,La Vega,0,Provincia
15,María Trinidad Sánchez,0,Provincia
16,Monseñor Nouel,0,Provincia
17,Montecristi,0,Provincia
18,Monte Plata,0,Provincia
19,Pedernales,0,Provincia
20,Peravia,0,Provincia
21,Puerto Plata,0,Provincia
22,Samaná,0,Provincia
23,San Cristóbal,0,Provincia
24,San José de Ocoa,0,Provincia
25,San Juan,0,Provincia
26,San Pedro de Macorís,0,Provincia
27,Sánchez Ramírez,0,Provincia
28,Santiago,0,Provincia
29,Santiago Rodríguez,0,Provincia
30,Santo Domingo,0,Provincia
31,Valverde,0,Provincia
32,Distrito Nacional,0,Provincia
33,Azua de Compostela,1,Municipio
34,Estebanía,1,Municipio
35,Guayabal,1,Municipio
36,Las Charcas,1,Municipio
37,Las Yayas de Viajama,1,Municipio
38,Padre Las Casas,1,Municipio
39,Peralta,1,Municipio
40,Pueblo Viejo,1,Municipio
41,Sabana Yegua,1,Municipio
42,Tábara Arriba,1,Municipio
43,Neiba,2,Municipio
44,Galván,2,Municipio
45,Los Ríos,2,Municipio
46,Tamayo,2,Municipio
47,Villa Jaragua,2,Municipio
48,Barahona,3,Municipio
49,Cabral,3,Municipio
50,El Peñón,3,Municipio
51,Enriquillo,3,Municipio
52,Fundación,3,Municipio
53,Jaquimeyes,3,Municipio
54,La Ciénaga,3,Municipio
55,Las Salinas,3,Municipio
56,Paraíso,3,Municipio
57,Polo,3,Municipio
58,Vicente Noble,3,Municipio
59,Dajabón,4,Municipio
60,El Pino,4,Municipio
61,Loma de Cabrera,4,Municipio
62,Partido,4,Municipio
63,Restauración,4,Municipio
64,San Francisco de Macorís,5,Municipio
65,Arenoso,5,Municipio
66,Castillo,5,Municipio
67,Eugenio María de Hostos,5,Municipio
68,Las Guáranas,5,Municipio
69,Pimentel,5,Municipio
70,Villa Riva,5,Municipio
71,Comendador,6,Municipio
72,Bánica,6,Municipio
73,El Llano,6,Municipio
74,Hondo Valle,6,Municipio
75,Juan Santiago,6,Municipio
76,Pedro Santana,6,Municipio
77,El Seibo,7,Municipio
78,Miches,7,Municipio
79,Moca,8,Municipio
80,Cayetano Germosén,8,Municipio
81,Gaspar Hernández,8,Municipio
82,Jamao al Norte,8,Municipio
83,Hato Mayor del Rey,9,Municipio
84,El Valle,9,Municipio
85,Sabana de la Mar,9,Municipio
86,Salcedo,10,Municipio
87,Tenares,10,Municipio
88,Villa Tapia,10,Municipio
89,Jimaní,11,Municipio
90,Cristóbal,11,Municipio
91,Duvergé,11,Municipio
92,La Descubierta,11,Municipio
93,Mella,11,Municipio
94,Postrer Río,11,Municipio
95,Higüey,12,Municipio
96,San Rafael del Yuma,12,Municipio
97,La Romana,13,Municipio
98,Guaymate,13,Municipio
99,Villa Hermosa,13,Municipio
100,La Concepción de La Vega,14,Municipio
101,Constanza,14,Municipio
102,Jarabacoa,14,Municipio
103,Jima Abajo,14,Municipio
104,Nagua,15,Municipio
105,Cabrera,15,Municipio
106,El Factor,15,Municipio
107,Río San Juan,15,Municipio
108,Bonao,16,Municipio
109,Maimón,16,Municipio
110,Piedra Blanca,16,Municipio
111,Montecristi,17,Municipio
112,Castañuela,17,Municipio
113,Guayubín,17,Municipio
114,Las Matas de Santa Cruz,17,Municipio
115,Pepillo Salcedo,17,Municipio
116,Villa Vásquez,17,Municipio
117,Monte Plata,18,Municipio
118,Bayaguana,18,Municipio
119,Peralvillo,18,Municipio
120,Sabana Grande de Boyá,18,Municipio
121,Yamasá,18,Municipio
122,Pedernales,19,Municipio
123,Oviedo,19,Municipio
124,Baní,20,Municipio
125,Nizao,20,Municipio
126,Puerto Plata,21,Municipio
127,Altamira,21,Municipio
128,Guananico,21,Municipio
129,Imbert,21,Municipio
130,Los Hidalgos,21,Municipio
131,Luperón,21,Municipio
132,Sosúa,21,Municipio
133,Villa Isabela,21,Municipio
134,Villa Montellano,21,Municipio
135,Samaná,22,Municipio
136,Las Terrenas,22,Municipio
137,Sánchez,22,Municipio
138,San Cristóbal,23,Municipio
139,Bajos de Haina,23,Municipio
140,Cambita Garabito,23,Municipio
141,Los Cacaos,23,Municipio
142,Sabana Grande de Palenque,23,Municipio
143,San Gregorio de Nigua,23,Municipio
144,Villa Altagracia,23,Municipio
145,Yaguate,23,Municipio
146,San José de Ocoa,24,Municipio
147,Rancho Arriba,24,Municipio
148,Sabana Larga,24,Municipio
149,San Juan de la Maguana,25,Municipio
150,Bohechío,25,Municipio
151,El Cercado,25,Municipio
152,Juan de Herrera,25,Municipio
153,Las Matas de Farfán,25,Municipio
154,Vallejuelo,25,Municipio
155,San Pedro de Macorís,26,Municipio
156,Consuelo,26,Municipio
157,Guayacanes,26,Municipio
158,Quisqueya,26,Municipio
159,Ramón Santana,26,Municipio
160,San José de Los Llanos,26,Municipio
161,Cotuí,27,Municipio
162,Cevicos,27,Municipio
163,Fantino,27,Municipio
164,La Mata,27,Municipio
165,Santiago,28,Municipio
166,Bisonó,28,Municipio
167,Jánico,28,Municipio
168,Licey al Medio,28,Municipio
169,Puñal,28,Municipio
170,Sabana Iglesia,28,Municipio
171,San José de las Matas,28,Municipio
172,Tamboril,28,Municipio
173,Villa González,28,Municipio
174,San Ignacio de Sabaneta,29,Municipio
175,Los Almácigos,29,Municipio
176,Monción,29,Municipio
177,Santo Domingo Este,30,Municipio
178,Boca Chica,30,Municipio
179,Los Alcarrizos,30,Municipio
180,Pedro Brand,30,Municipio
181,San Antonio de Guerra,30,Municipio
182,Santo Domingo Norte,30,Municipio
183,Santo Domingo Oeste,30,Municipio
184,Mao,31,Municipio
185,Esperanza,31,Municipio
186,Laguna Salada,31,Municipio
187,Distrito Nacional,32,Municipio
188, Barreras,33,Distrito Municipal
189, Barro Arriba,33,Distrito Municipal
190, Clavellina,33,Distrito Municipal
191, Emma Balaguer Viuda Vallejo,33,Distrito Municipal
192, Las Barías-La Estancia,33,Distrito Municipal
193, Las Lomas,33,Distrito Municipal
194, Los Jovillos,33,Distrito Municipal
195, Puerto Viejo,33,Distrito Municipal
196,Hatillo,36,Distrito Municipal
197,Palmar de Ocoa,36,Distrito Municipal
198,Villarpando,37,Distrito Municipal
199,Hato Nuevo-Cortés,37,Distrito Municipal
200,La Siembra,38,Distrito Municipal
201, Las Lagunas,38,Distrito Municipal
202, Los Fríos,38,Distrito Municipal
203,El Rosario,40,Distrito Municipal
204,Proyecto 4,41,Distrito Municipal
205,Ganadero,41,Distrito Municipal
206,Proyecto 2-C,41,Distrito Municipal
207,Amiama Gómez,42,Distrito Municipal
208,Los Toros,42,Distrito Municipal
209,Tábara Abajo,42,Distrito Municipal
210,El Palmar,43,Distrito Municipal
211,El Salado,44,Distrito Municipal
212,Las Clavellinas,45,Distrito Municipal
213,Cabeza de Toro,46,Distrito Municipal
214,Mena,46,Distrito Municipal
215,Monserrat,46,Distrito Municipal
216,Santa Bárbara-El 6,46,Distrito Municipal
217,Santana,46,Distrito Municipal
218,Uvilla,46,Distrito Municipal
219, El Cachón,48,Distrito Municipal
220, La Guázara,48,Distrito Municipal
221, Villa Central,48,Distrito Municipal
222,Arroyo Dulce,51,Distrito Municipal
223,Pescadería,52,Distrito Municipal
224,Palo Alto,53,Distrito Municipal
225,Bahoruco,54,Distrito Municipal
226,Los Patos,56,Distrito Municipal
227,Canoa,58,Distrito Municipal
228,Fondo Negro,58,Distrito Municipal
229,Quita Coraza,58,Distrito Municipal
230,Cañongo,59,Distrito Municipal
231,Manuel Bueno,60,Distrito Municipal
232,Capotillo,61,Distrito Municipal
233,Santiago de la Cruz,61,Distrito Municipal
234,Cenoví,64,Distrito Municipal
235,Jaya,64,Distrito Municipal
236,La Peña,64,Distrito Municipal
237,Presidente Antonio Guzmán Fernández,64,Distrito Municipal
238, Aguacate,65,Distrito Municipal
239, Las Coles,65,Distrito Municipal
240,Sabana Grande,67,Distrito Municipal
241, Agua Santa del Yuna,70,Distrito Municipal
242, Barraquito,70,Distrito Municipal
243, Cristo Rey de Guaraguao,70,Distrito Municipal
244, Las Táranas,70,Distrito Municipal
245,Comendador,71,Distrito Municipal
246,Sabana Larga,71,Distrito Municipal
247, Sabana Cruz,72,Distrito Municipal
248, Sabana Higüero,72,Distrito Municipal
249,Guanito,73,Distrito Municipal
250,Rancho de la Guardia,74,Distrito Municipal
251,Río Limpio,76,Distrito Municipal
252, Pedro Sánchez,77,Distrito Municipal
253, San Francisco-Vicentillo,77,Distrito Municipal
254, Santa Lucía,77,Distrito Municipal
255,El Cedro,78,Distrito Municipal
256,La Gina,78,Distrito Municipal
257, Canca La Reina,79,Distrito Municipal
258, El Higüerito,79,Distrito Municipal
259, José Contreras,79,Distrito Municipal
260, Juan López,79,Distrito Municipal
261, La Ortega,79,Distrito Municipal
262, Las Lagunas,79,Distrito Municipal
263, Monte de la Jagua,79,Distrito Municipal
264, San Víctor,79,Distrito Municipal
265, Guayabo Dulce,83,Distrito Municipal
266, Mata Palacio,83,Distrito Municipal
267, Yerba Buena,83,Distrito Municipal
268,Elupina Cordero de Las Cañitas,85,Distrito Municipal
269,Jamao Afuera,86,Distrito Municipal
270,Blanco,87,Distrito Municipal
271,Boca de Cachón,89,Distrito Municipal
272,El Limón,89,Distrito Municipal
273,Batey 8,90,Distrito Municipal
274,Vengan a Ver,91,Distrito Municipal
275,La Colonia,93,Distrito Municipal
276,Guayabal,94,Distrito Municipal
277, La Otra Banda,95,Distrito Municipal
278, Lagunas de Nisibón,95,Distrito Municipal
279, Verón-Punta Cana,95,Distrito Municipal
280,Bayahibe,96,Distrito Municipal
281,Boca de Yuma,96,Distrito Municipal
282,Caleta,97,Distrito Municipal
283,Cumayasa,99,Distrito Municipal
284, El Ranchito,100,Distrito Municipal
285, Río Verde Arriba,100,Distrito Municipal
286,La Sabina,101,Distrito Municipal
287,Tireo,101,Distrito Municipal
288,Buena Vista,102,Distrito Municipal
289,Manabao,102,Distrito Municipal
290,Rincón,103,Distrito Municipal
291, Arroyo al Medio,104,Distrito Municipal
292, Las Gordas,104,Distrito Municipal
293, San José de Matanzas,104,Distrito Municipal
294, Arroyo Salado,105,Distrito Municipal
295, La Entrada,105,Distrito Municipal
296,El Pozo,106,Distrito Municipal
297, Arroyo Toro-Masipedro,108,Distrito Municipal
298, La Salvia-Los Quemados,108,Distrito Municipal
299, Jayaco,108,Distrito Municipal
300, Juma Bejucal,108,Distrito Municipal
301, Sabana del Puerto,108,Distrito Municipal
302, Juan Adrián,110,Distrito Municipal
303, Villa Sonador,110,Distrito Municipal
304,Palo Verde,112,Distrito Municipal
305, Cana Chapetón,113,Distrito Municipal
306, Hatillo Palma,113,Distrito Municipal
307, Villa Elisa,113,Distrito Municipal
308, Boyá,117,Distrito Municipal
309, Chirino,117,Distrito Municipal
310, Don Juan,117,Distrito Municipal
311, Gonzalo,120,Distrito Municipal
312, Majagual,120,Distrito Municipal
313,Los Botados,121,Distrito Municipal
314,José Francisco Peña Gómez,122,Distrito Municipal
315,Juancho,122,Distrito Municipal
316, Catalina,124,Distrito Municipal
317, El Carretón,124,Distrito Municipal
318, El Limonal,124,Distrito Municipal
319, Las Barías,124,Distrito Municipal
320, Matanzas,124,Distrito Municipal
321, Paya,124,Distrito Municipal
322, Sabana Buey,124,Distrito Municipal
323, Villa Fundación,124,Distrito Municipal
324, Villa Sombrero,124,Distrito Municipal
325,Pizarrete,125,Distrito Municipal
326,Santana,125,Distrito Municipal
327,Maimón,126,Distrito Municipal
328,Yásica Arriba,126,Distrito Municipal
329,Río Grande,127,Distrito Municipal
330,Navas,130,Distrito Municipal
331, Belloso,131,Distrito Municipal
332, Estrecho,131,Distrito Municipal
333, La Isabela,131,Distrito Municipal
334,Cabarete,132,Distrito Municipal
335,Sabaneta de Yásica,132,Distrito Municipal
336, Estero Hondo,133,Distrito Municipal
337, Gualete,133,Distrito Municipal
338, La Jaiba,133,Distrito Municipal
339, Arroyo Barril,135,Distrito Municipal
340, El Limón,135,Distrito Municipal
341, Las Galeras,135,Distrito Municipal
342,Hato Damas,138,Distrito Municipal
343,El Carril,139,Distrito Municipal
344,Cambita El Pueblecito,140,Distrito Municipal
345,La Cuchilla,144,Distrito Municipal
346,Medina,144,Distrito Municipal
347,San José del,144,Distrito Municipal
348, El Naranjal,146,Distrito Municipal
349, El Pinar,146,Distrito Municipal
350, La Ciénaga,146,Distrito Municipal
351, Nizao-Las Auyamas,146,Distrito Municipal
352, El Rosario,149,Distrito Municipal
353, Guanito,149,Distrito Municipal
354, Hato del Padre,149,Distrito Municipal
355, Hato Nuevo,149,Distrito Municipal
356, La Jagua,149,Distrito Municipal
357, Las Charcas de María Nova,149,Distrito Municipal
358, Pedro Corto,149,Distrito Municipal
359, Sabana Alta,149,Distrito Municipal
360, Sabaneta,149,Distrito Municipal
361, Arroyo Cano,150,Distrito Municipal
362, Yaque,150,Distrito Municipal
363, Batista,151,Distrito Municipal
364, Derrumbadero,151,Distrito Municipal
365,Jínova,152,Distrito Municipal
366, Carrera de Yegua,153,Distrito Municipal
367, Matayaya,153,Distrito Municipal
368, Jorjillo,154,Distrito Municipal
369, El Puerto,160,Distrito Municipal
370, Gautier,160,Distrito Municipal
371, Caballero,161,Distrito Municipal
372, Comedero Arriba,161,Distrito Municipal
373, Quita Sueño,161,Distrito Municipal
374,La Cueva,162,Distrito Municipal
375,Platanal,162,Distrito Municipal
376, Angelina,164,Distrito Municipal
377, La Bija,164,Distrito Municipal
378, Hernando Alonzo,164,Distrito Municipal
379, Baitoa,165,Distrito Municipal
380, Hato del Yaque,165,Distrito Municipal
381, La Canela,165,Distrito Municipal
382, Pedro García,165,Distrito Municipal
383, San Francisco de Jacagua,165,Distrito Municipal
384, El Caimito,167,Distrito Municipal
385, Juncalito,167,Distrito Municipal
386,Las Palomas,168,Distrito Municipal
387, Canabacoa,169,Distrito Municipal
388, Guayabal,169,Distrito Municipal
389, El Rubio,171,Distrito Municipal
390, La Cuesta,171,Distrito Municipal
391, Las Placetas,171,Distrito Municipal
392,Canca La Piedra,172,Distrito Municipal
393, El Limón,173,Distrito Municipal
394, Palmar Arriba,173,Distrito Municipal
395,San Luis,177,Distrito Municipal
396,La Caleta,178,Distrito Municipal
397, Palmarejo-Villa Linda,179,Distrito Municipal
398, Pantoja,179,Distrito Municipal
399, La Cuaba,180,Distrito Municipal
400, La Guáyiga,180,Distrito Municipal
401,Hato Viejo,181,Distrito Municipal
402,La Victoria,182,Distrito Municipal
403, Ámina,184,Distrito Municipal
404, Guatapanal,184,Distrito Municipal
405, Jaibón (Pueblo Nuevo),184,Distrito Municipal
406, Boca de Mao,185,Distrito Municipal
407, Jicomé,185,Distrito Municipal
408, Maizal,185,Distrito Municipal
409, Paradero,185,Distrito Municipal
410, Cruce de Guayacanes,186,Distrito Municipal
411, Jaibón,186,Distrito Municipal
412, La Caya,186,Distrito Municipal
